"","bmigr","sub","sex","x","p1","p2.3","p3","p5","p10","p16","p20","p25","p50","p75","p80","p84","p90","p95","p97","p99"
"13",1,"N","W",22,-3.09,-1.58,-1.09,-0.149999999999999,1.18,2.16,2.66,3.2,5.35,7.68,8.32,8.95,10.24,12.18,13.7,17.39
"14",1,"N","W",23,-2.74,-1.22,-0.73,0.219999999999999,1.58,2.58,3.09,3.64,5.84,8.23,8.88,9.52,10.83,12.79,14.31,17.97
"15",1,"N","W",24,-2.4,-0.870000000000001,-0.370000000000001,0.59,1.97,2.99,3.51,4.07,6.33,8.76,9.43,10.08,11.41,13.39,14.91,18.54
"16",1,"N","W",25,-2.08,-0.530000000000001,-0.0300000000000011,0.949999999999999,2.35,3.38,3.92,4.5,6.8,9.29,9.97,10.63,11.98,13.97,15.49,19.1
"17",1,"N","W",26,-1.76,-0.199999999999999,0.300000000000001,1.29,2.71,3.77,4.32,4.9,7.26,9.8,10.49,11.16,12.53,14.53,16.06,19.64
"18",1,"N","W",27,-1.46,0.120000000000001,0.629999999999999,1.63,3.07,4.15,4.7,5.3,7.71,10.3,11.01,11.69,13.07,15.09,16.61,20.17
"19",1,"N","W",28,-1.16,0.43,0.940000000000001,1.96,3.42,4.52,5.09,5.7,8.16,10.8,11.52,12.21,13.61,15.64,17.17,20.7
"20",1,"N","W",29,-0.879999999999999,0.719999999999999,1.25,2.28,3.76,4.88,5.46,6.08,8.6,11.29,12.02,12.72,14.14,16.18,17.72,21.24
"21",1,"N","W",30,-0.59,1.02,1.55,2.59,4.1,5.24,5.83,6.47,9.03,11.77,12.52,13.23,14.66,16.72,18.26,21.76
"22",1,"N","W",31,-0.309999999999999,1.32,1.86,2.91,4.45,5.6,6.2,6.85,9.47,12.27,13.02,13.74,15.19,17.27,18.81,22.29
"23",1,"N","W",32,-0.0199999999999996,1.63,2.17,3.24,4.8,5.98,6.59,7.26,9.93,12.78,13.55,14.28,15.75,17.85,19.39,22.87
"24",1,"N","W",33,0.280000000000001,1.95,2.5,3.58,5.17,6.37,6.99,7.67,10.4,13.31,14.09,14.83,16.32,18.43,19.99,23.45
"25",1,"N","W",34,0.579999999999998,2.27,2.83,3.93,5.54,6.77,7.4,8.1,10.88,13.85,14.64,15.39,16.9,19.04,20.6,24.05
"26",1,"N","W",35,0.879999999999999,2.59,3.15,4.27,5.92,7.16,7.81,8.52,11.37,14.39,15.2,15.97,17.5,19.65,21.22,24.68
